Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14)
0.0,0.4522347052778472,3.76,0.0,0.501055871799103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.470093788666931e-21,0.4522347052778472,3.76,0.0,0.5010558717991027,1.0,7.848987197943944e-47,4.6733435128705696e-33,3.8294627394214584e-34,2.49999666808391e-16,2.49999666808391e-16,3.472930396750274e-35,1.417813735104212e-33,1.417367415593537e-33,5.985557473982885e-46,4.073211373819865e-49,1.5470030510122617e-19,1.1758475479281683e-35,6.765452596060886e-20,2.4190976262291177e-24,4.5483280869686e-31,8.704819823733896e-20,3.5882398811968883e-35,6.589614763580512e-35,7.708514963723077e-47,2.7477672132798296e-25,2.2851286006031148e-52,2.4026790784390303e-54,1.1482670393528373e-34,1.1061445917796053e-49,8.426514296823301e-71,1.7064743621529825e-35,1.1436092948975768e-51,6.817401684208662e-65,1.1555654834233001e-57,1.2790048242210646e-79,3.8542488161199375e-19,2.9967748521028793e-34,3.854248816119899e-19,2.0883455923907452e-50,5.560105028798338e-66,1.8048970280645636e-53,5.391560200666223e-34,1.5118451322195864e-68,2.391226729353949e-69,1.251332815478196e-35,3.138262326448603e-70,7.589811989158546e-82,1.0307128160819745e-84,8.521567778596076e-66,1.0891151468404276e-60,4.128593048739178e-62
2.371626260826741e-20,0.4522347052778472,3.76,0.0,0.5010558717991024,1.0,9.318317601952712e-46,2.8226994817737886e-32,2.3129954946601733e-33,6.999990670634946e-16,6.999990670634946e-16,2.09764995955846e-34,8.563594960517008e-33,8.5608991901828e-33,7.106053871506117e-45,4.835716696967264e-48,4.331608542834389e-19,7.102119189486202e-35,1.8943267268898013e-19,6.77347482159526e-24,2.747190164521205e-30,2.4373495506381644e-19,2.167296888245124e-34,3.980127317203672e-34,9.151548964930177e-46,7.693748197587695e-25,2.712904674629919e-51,2.8524606019610614e-53,6.935532917644333e-34,1.3132148593569232e-48,1.8849775421535544e-69,1.0307105147371158e-34,1.357692954898841e-50,1.5250307361334332e-63,1.371887341916152e-56,5.27786694486047e-78,1.0791896685135795e-18,1.810052010670133e-33,1.079189668513556e-18,3.1559078592120208e-49,1.2437732544866411e-64,2.727560388780392e-52,3.256502361202392e-33,4.263645168069983e-67,5.349078544497934e-68,7.558050205478358e-35,9.867198876323667e-69,4.375355043373733e-80,5.936378095665352e-83,1.011744654376954e-64,1.2929975023561454e-59,9.235497553975886e-61
5.4208600247468367e-20,0.45223470527784726,3.76,0.0,0.5010558717991015,1.0,9.148779479017143e-45,1.359008293542707e-31,1.1136077646981776e-32,1.5999978675737e-15,1.5999978675737e-15,1.0099281592569209e-33,4.1230023424143983e-32,4.1217044445427604e-32,6.976765846189417e-44,4.747735397228579e-47,9.900819526478853e-19,3.4193646693752042e-34,4.3298896614282407e-19,1.5482235084942463e-23,1.3226538076787234e-29,5.571084687138402e-19,1.0434601574553584e-33,1.9162599732507758e-33,8.985045041709855e-45,1.7585710167820114e-24,2.663545896843991e-50,2.80056273394708e-52,3.339160550367842e-33,1.2893221361664517e-47,3.7243979774616344e-68,4.9624274450915844e-34,1.3329909941215567e-49,3.0132083859131128e-62,1.346927127465826e-55,2.0878749811444763e-76,2.4667192423167386e-18,8.714621269915076e-33,2.4667192423166246e-18,3.3949816626085147e-48,2.457486356993227e-63,2.934185000477665e-51,1.5678657063537238e-32,9.274359537102361e-66,1.0568877807108672e-66,3.638875827395672e-34,2.2013177899381767e-67,1.9623192723289182e-78,2.6621211034522346e-81,9.934726812531006e-64,1.2694726152377802e-58,1.824778689816301e-59
1.1519327552587029e-19,0.4522347052778474,3.76,0.0,0.5010558717990997,1.0,8.0919918433138e-44,5.935146261345055e-31,4.863417679834228e-32,3.3999954685941048e-15,3.3999954685941048e-15,4.4106216026529045e-33,1.800623444338076e-31,1.8000566178004374e-31,6.170870388268208e-43,4.199318221965632e-46,2.1039241493768635e-18,1.4933263858688656e-33,9.201015530389176e-19,3.2899779102096545e-23,5.776376670328751e-29,1.1838554960021637e-18,4.5570646491541754e-33,8.368810749763397e-33,7.947170586987835e-44,3.73696341147517e-24,2.355876182037815e-49,2.4770660229564404e-51,1.458299139905555e-32,1.140390828316203e-46,6.627367207248254e-67,2.167222439883355e-33,1.1790154386443698e-48,5.3618471199435426e-61,1.1913417907641001e-54,7.451482924341834e-75,5.241778389923001e-18,3.8059040621705524e-32,5.2417783899225055e-18,3.1205730517344e-47,4.372965668729415e-62,2.6970215308631304e-50,6.847281454845949e-32,1.7193099551436377e-64,1.8806753364805777e-65,1.5891926756418885e-33,4.122824596050917e-66,7.383196673863379e-77,1.0015564935055979e-79,8.789568633200811e-63,1.1228341519528172e-57,3.247096184702155e-58
2.371626260826741e-19,0.4522347052778477,3.76,0.0,0.5010558717990962,1.0,6.801806724575862e-43,2.477806730523461e-30,2.0303811451333336e-31,6.999990670634888e-15,6.999990670634888e-15,1.8413476952590464e-32,7.517248430324072e-31,7.514882037446739e-31,5.186988386807216e-42,3.5297800088263287e-45,4.3316085428351585e-18,6.234343699115964e-33,1.8943267267847265e-18,6.773496109824337e-23,2.4115235516015185e-28,2.437349550531914e-18,1.902484785041302e-32,3.493813747664917e-32,6.680075731301028e-43,7.693748203448181e-24,1.98025588315247e-48,2.082123246961646e-50,6.088111841995806e-32,9.585672048775637e-46,1.117802347197231e-65,9.047727067676714e-33,9.910335171673548e-48,9.043541958082442e-60,1.0013945588397503e-53,2.5176885531086828e-73,1.0791896685135316e-17,1.5888900265848507e-31,1.0791896685133242e-17,2.669715945048914e-46,7.3756457645627e-61,2.3073587014820015e-49,2.8586052183930896e-31,2.955054527234523e-63,3.172033840270771e-64,6.634566587526603e-33,7.121154215803021e-65,2.5566536825166037e-75,3.4680721517988e-78,7.392225165128787e-62,9.438097607087405e-57,5.476702324024396e-57
4.811013271962818e-19,0.4522347052778483,3.76,0.0,0.501055871799089,1.0,5.576532102573178e-42,1.0122648982613797e-29,8.294769477956024e-31,1.4199981074716349e-14,1.419998107471635e-14,7.522506147280992e-32,3.0710412685437617e-30,3.0700745168466586e-30,4.252606465172573e-41,2.893926923621204e-44,8.78697732975311e-18,2.546932822715016e-32,3.84277707409083e-18,1.374057009378917e-22,9.85186056857262e-28,4.944337659403825e-18,7.772271112527718e-32,1.427336916262893e-31,5.476729677677491e-42,1.5607317797740994e-23,1.6235334149655806e-47,1.7070504348446565e-49,2.4871923373669962e-31,7.85891308710027e-45,1.8359937120165394e-64,3.6962917270097327e-32,8.12509153059805e-47,1.4854047317631311e-58,8.210037610062294e-53,8.277610558676168e-72,2.1892133275559088e-17,6.4911342006480985e-31,2.189213327555061e-17,2.2073727705079624e-45,1.211452030989876e-59,1.9077687939441557e-48,1.1678335057049852e-30,4.89778616522938e-62,5.210075107699722e-63,2.710436931520876e-32,1.183190423606667e-63,8.506297282692e-74,1.1538494496213893e-76,6.067255956280243e-61,7.737922646743955e-56,8.995500015051203e-56
9.68978729423497e-19,0.4522347052778496,3.76,0.0,0.5010558717990745,1.0,4.516020281107786e-41,4.0917365660032003e-29,3.3528784473949434e-30,2.8599961882878856e-14,2.8599961882878875e-14,3.0407172553672218e-31,1.2413639848799641e-29,1.2409732059670599e-29,3.443870972145429e-40,2.3435770672682926e-43,1.7697714903594444e-17,1.0295109688939744e-31,7.739677767960981e-18,2.767486840066068e-22,3.982279559128421e-27,9.958313876397295e-18,3.1416762517160486e-31,5.769524027124563e-31,4.435197686757608e-41,3.1434457027713777e-23,1.3147794522818947e-46,1.3824137010522994e-48,1.0053629093165555e-30,6.364351573371192e-44,2.97622492615031e-63,1.4941002145150628e-31,6.579909778100615e-46,2.4079052813001003e-57,6.648701315555707e-52,2.684823373667938e-70,4.4092606456403204e-17,2.6238202282082907e-30,4.4092606456368944e-17,1.794998877690509e-44,1.9638159452775575e-58,1.551365899189303e-47,4.720569750571902e-30,7.974775101169552e-61,8.445756267068228e-62,1.095601943829636e-31,1.928899012531259e-62,2.775208631019044e-72,3.7644399261060303e-75,4.9242134107281877e-60,6.266370382759756e-55,1.4582093168550336e-54
1.9447335338779274e-18,0.4522347052778521,3.76,0.0,0.5010558717990456,1.0,3.634886012083032e-40,1.645269277077212e-28,1.3481776791738065e-29,5.739992349920218e-14,5.739992349920225e-14,1.2226590316952072e-30,4.9914700054056366e-29,4.989898681123086e-29,2.7719269684893656e-39,1.8863147314802624e-42,3.5519190051298836e-17,4.139618326387585e-31,1.5533479152733055e-17,5.554406637017082e-22,1.6012570957125788e-26,1.9986266307382814e-17,1.2632542033083647e-30,2.3199002360596324e-30,3.5698329517303523e-40,6.308873565320794e-23,1.0582488862570167e-45,1.1126868149171935e-47,4.0425200390347655e-30,5.122583831285743e-43,4.793118493696679e-62,6.007711248344525e-31,5.296083827660767e-45,3.8778573844772547e-56,5.35145324161901e-51,8.649516498884559e-69,8.849355281807775e-17,1.0550265737816732e-29,8.849355281794001e-17,1.4477316228875549e-43,3.1626650324550213e-57,1.2512327987792818e-46,1.8981203348845257e-29,1.2871319162879305e-59,1.360163010030612e-60,4.40536722941952e-31,3.1151770582623436e-61,8.966743260362183e-71,1.2162911078028954e-73,3.980808499241989e-59,5.0437200527633227e-54,2.3484011508059074e-53
3.896243142786788e-18,0.4522347052778571,3.76,0.0,0.5010558717989879,1.0,2.9167671155336846e-39,6.59826566573732e-28,5.406795496504396e-29,1.1499984673184212e-13,1.1499984673184232e-13,4.903409539628957e-30,2.0018027366604829e-28,2.001172549734612e-28,2.224296822313509e-38,1.5136488091891845e-41,7.11621403467946e-17,1.6601720978381565e-30,3.1121081910404315e-17,1.1128486773225788e-21,6.42175713105191e-26,4.004217115734819e-17,5.0662143602199554e-30,9.303837547671731e-30,2.8645661234562308e-39,1.2639729356639084e-22,8.491780847668158e-45,8.928610960664302e-47,1.6212313402889256e-29,4.110550913881939e-42,7.694016704535527e-61,2.409360910991718e-30,4.249773734435204e-44,6.224820044903315e-55,4.294204201909666e-50,2.777178407848553e-67,1.772954455413721e-16,4.231128433030473e-29,1.7729544554081966e-16,1.1628967700927715e-42,5.07677778137893e-56,1.0050582273217001e-45,7.612311497952816e-29,2.0683864347533087e-58,2.183362861879705e-59,1.7667492935451784e-30,5.007556141080367e-60,2.8832077214148293e-69,3.91090943268163e-72,3.222229870095938e-58,4.0472677108873858e-53,3.769703939397014e-52
7.799262360604511e-18,0.452234705277867,3.76,0.0,0.5010558717988725,0.9999999999999999,2.3369631009798155e-38,2.6427479033820545e-27,2.1655383808246924e-28,2.301996931970951e-13,2.30199693197096e-13,1.9639214005916685e-29,8.017652418759344e-28,8.015128258980431e-28,1.7821441907058453e-37,1.2127610499542748e-40,1.4244804093813384e-16,6.649347803049329e-30,6.229628737825526e-17,2.227760921486851e-21,2.57205242115527e-25,8.015398080925627e-17,2.0291282680288663e-29,3.726387875231389e-29,2.2951387713669648e-38,2.530144120415359e-22,6.803758269242363e-44,7.153753966431924e-46,6.493381646974308e-29,3.293442832327252e-41,1.2330488518093982e-59,9.65001079535862e-30,3.4049905083328024e-43,9.975943080045422e-54,3.4405889491789384e-49,8.901935938675481e-66,3.5489923098774166e-16,1.6946583180824694e-28,3.5489923098552896e-16,9.32205698280923e-42,8.136081833164372e-55,8.056785678608863e-45,3.048895159772633e-28,3.316615016700982e-57,3.499073590580669e-58,7.076212487023298e-30,8.030757018298193e-59,9.248486938236704e-68,1.2545039367310881e-70,2.626383682509457e-57,3.2427392811892733e-52,6.041355620088942e-51
1.5605300796239958e-17,0.45223470527788684,3.76,0.0,0.5010558717986415,0.9999999999999998,1.8709914748245348e-37,1.0577878813254067e-26,8.667797180592542e-28,4.605993861274936e-13,4.605993861274972e-13,7.860803568379804e-29,3.209150527679224e-27,3.2081401058571495e-27,1.4267989722727708e-36,9.709463349591581e-40,2.8501984212220325e-16,2.6614719912798567e-29,1.246466981239909e-16,4.4579702775044016e-21,1.0294912630674446e-24,1.6037759992098177e-16,8.121801137495416e-29,1.4915262750124603e-28,1.8375065595156228e-37,5.062486595869495e-22,5.447143584832248e-43,5.727353004493158e-45,2.599044873318109e-28,2.6367568158298582e-40,1.974484714446499e-58,3.8625191768196975e-29,2.7260627826800736e-42,1.5974506688669235e-52,2.7545631802631074e-48,2.8510164606095558e-64,7.101068018796048e-16,6.783049679350504e-28,7.10106801870748e-16,7.465206096000428e-41,1.3028331261366402e-53,6.451962842086169e-44,1.2203526289168085e-27,5.312347970766564e-56,5.603076704674912e-57,2.8323291069711584e-29,1.286416459075253e-57,2.963076382174602e-66,4.019240046346953e-69,2.1742441165477005e-56,2.596163177325494e-51,9.674040299655971e-50
3.121737766751085e-17,0.45223470527792653,3.76,0.0,0.5010558717981798,0.9999999999999994,1.4973618450616633e-36,4.232529357762092e-26,3.4682479862499965e-27,9.213987719878612e-13,9.213987719878747e-13,3.1453452156978444e-28,1.2840783020339121e-26,1.283673921589078e-26,1.1418728107326972e-35,7.770522933528696e-39,5.701634444959063e-16,1.0649354693022373e-28,2.4934751885559697e-16,8.919928460286564e-21,4.119306013931018e-24,3.208248373760701e-16,3.249778372187648e-28,5.968047904695086e-28,1.4705637030356596e-36,1.0127171970583244e-21,4.359370355016895e-42,4.583623131405601e-44,1.0399564829436322e-27,2.1102068100559082e-39,3.1604614417427044e-57,1.5455107817745215e-28,2.1816787258960415e-41,2.5569614043681575e-51,2.204487705062984e-47,9.12708980778484e-63,1.4205219436598268e-15,2.7141034048647627e-27,1.4205219436243882e-15,5.975190545309681e-40,2.0853814010242414e-52,5.164185220867627e-43,4.883000098560983e-27,8.50437051982789e-55,8.96857171786578e-56,1.1333005691117928e-28,2.0594633929574556e-56,9.487545349754425e-65,1.2869297517950473e-67,1.8545639193598008e-55,2.0777196137738587e-50,1.5484764663267675e-48
6.244153141005264e-17,0.4522347052780059,3.76,0.0,0.5010558717972562,0.9999999999999989,1.1981170299919186e-35,1.6932873488165664e-25,1.3875250981735679e-26,1.8429975437068773e-12,1.8429975437069306e-12,1.2583427958546628e-27,5.13714998780262e-26,5.1355315617824965e-26,9.136717383113527e-35,6.217601120710304e-38,1.1404506492655682e-15,4.260435321617338e-28,4.987491572793487e-16,1.785000270876746e-20,1.6479906284234163e-23,6.417193092127962e-16,1.3001229646152443e-27,2.3876077791820865e-27,1.1766743919391543e-35,2.0256544415236986e-21,3.4881586072082983e-41,3.667595027055885e-43,4.160503049511981e-27,1.6884860513047405e-38,5.057767333728187e-56,6.1830494602755925e-28,1.7456744437854791e-40,4.0919707042558615e-50,1.763925091396805e-46,2.9212828100227994e-61,2.8413522272062514e-15,1.085818093736806e-26,2.8413522270644753e-15,4.7813629778617516e-39,3.3372889696156593e-51,4.132394331286256e-42,1.9535180012819907e-26,1.3610684838945948e-53,1.4352634677726768e-54,4.533940224437829e-28,3.296099406371593e-55,3.0369269955595804e-63,4.1194123562350114e-66,1.6671802145417744e-54,1.6624914411648805e-49,2.4780664851667765e-47
1.2488983889513618e-16,0.45223470527816456,3.76,0.0,0.501055871795409,0.9999999999999978,9.585847180948839e-35,6.773700645654219e-25,5.550552621836779e-26,3.686195087138033e-12,3.686195087138248e-12,5.033780013612281e-27,2.055027745881007e-25,2.0543798100040283e-25,7.310067931365175e-34,4.974556648708228e-37,2.2810250588939172e-15,1.704312827451017e-27,9.975524219690108e-16,3.573478273682219e-20,6.592498936104082e-23,1.283508240592447e-15,5.2009151373711415e-27,9.551208414867125e-27,9.414288942651908e-35,4.0515296085484004e-21,2.790791822247774e-40,2.9343547913844996e-42,1.6643366162379227e-26,1.3509170829248276e-37,8.093251223004648e-55,2.4734210392724227e-27,1.3966721421679383e-39,6.5478191192826166e-49,1.411274044671551e-45,9.349087420688494e-60,5.683012794243028e-15,4.343625863646574e-26,5.683012793675876e-15,3.825574623820103e-38,5.340204887412389e-50,3.306333850326356e-41,7.814707974050202e-26,2.1780049583527422e-52,2.296655174738608e-53,1.8137236820700946e-27,5.274525612599888e-54,9.719626711183965e-62,1.3184099438200992e-64,1.627094288306642e-53,1.3301195527673436e-48,3.965309733485803e-46
2.4978645386530327e-16,0.4522347052784819,3.76,0.0,0.5010558717917146,0.9999999999999954,7.669043145444967e-34,2.709590512031614e-24,2.2203118094822557e-25,7.37259017397284e-12,7.372590173973704e-12,2.0135932798971377e-26,8.220449560288879e-25,8.217853608903306e-25,5.8483319568046566e-33,3.979839777325479e-36,4.562173878506714e-15,6.817528717651626e-27,1.995158902716971e-15,7.160286891271647e-20,2.6371068135462696e-22,2.567086054176542e-15,2.0804507275754682e-26,3.8206388376522085e-26,7.531788685858298e-34,8.103282655001276e-21,2.2327394042896574e-39,2.347595556886467e-41,6.657616973384991e-26,1.0807849448339842e-36,1.2949861316708738e-53,9.89408647528686e-27,1.1173907318183153e-38,1.0477043237707386e-47,1.1290728053052059e-44,2.991865034777577e-58,1.1366333928092287e-14,1.7375210456715023e-25,1.1366333925823588e-14,3.0606533527123756e-37,8.54476023078468e-49,2.645234240379264e-40,3.1260103878677937e-25,3.485044198190403e-51,3.674835201405192e-52,7.255189860866574e-27,8.43985445553656e-53,3.110514281043155e-60,4.219228702185401e-63,1.7709168887462536e-52,1.0641463429053122e-47,6.344818265741737e-45
4.995796838056376e-16,0.4522347052791166,3.76,0.0,0.5010558717843259,0.9999999999999909,6.135382288257369e-33,1.0838582557725737e-23,8.881431256259014e-25,1.4745380347532438e-11,1.474538034753589e-11,8.054531715384394e-26,3.2882499913275108e-24,3.2872083076487522e-24,4.6787765921902293e-32,3.183956243081915e-35,9.124471519156701e-15,2.7270669699076945e-26,3.990371669687458e-15,1.4373314570694925e-19,1.0548641342630644e-21,5.134241484643927e-15,8.321972369216736e-26,1.5282866351893436e-25,6.025573948856967e-33,1.620679959774219e-20,1.7862338491414828e-38,1.8781214721005162e-40,2.6631006567425134e-25,8.646484342152724e-36,2.072030729948147e-52,3.957714890018361e-26,8.939337618870371e-38,1.676369473404763e-46,9.032796375777697e-44,9.574218526854988e-57,2.273297619489363e-14,6.950225585274733e-25,2.2732976185818643e-14,2.448600058348228e-36,1.3671957044903683e-47,2.1162539316419207e-39,1.2504295951970335e-24,5.576259545932817e-50,5.879885893598059e-51,2.902134921903053e-26,1.3504258489999683e-51,9.954020078953156e-59,1.350203933122957e-61,2.1674718699736946e-51,8.513375760355289e-47,1.0151967343060703e-43
9.99166143686306e-16,0.4522347052803861,3.76,0.0,0.5010558717695485,0.9999999999999818,4.908367512525013e-32,4.335477123909766e-23,3.552611301385502e-24,2.949096069421157e-11,2.9490960694225376e-11,3.221841240790727e-25,1.3153159906265725e-23,1.3148966872915665e-23,3.743065651597395e-31,2.5472093807333705e-34,1.824906680615426e-14,1.0908378848631141e-25,7.980796425526865e-15,2.895701167716301e-19,4.2194990402560414e-21,1.02685515587756e-14,3.328822928288234e-25,6.113208783438709e-25,4.8205163337677993e-32,3.241387688433489e-20,1.4290039233932204e-37,1.5025157259779763e-39,1.0652508480610681e-24,6.917268850649004e-35,3.315292044284295e-51,1.583101883996034e-25,7.151554300074303e-37,2.6822250176201285e-45,7.226322114044e-43,3.06378942674304e-55,4.546626072490761e-14,2.7801185145959178e-24,4.546626068860731e-14,1.958910857384288e-35,2.1875386972168052e-46,1.6930292386538041e-38,5.001769260920717e-24,8.92216573200045e-49,9.40793718224511e-50,1.1608657243680724e-25,2.160720847535276e-50,3.1853465766972546e-57,4.3207340738017966e-60,2.935138145442696e-50,6.8107861505405456e-46,1.6243354105930492e-42
1.9983390634476426e-15,0.4522347052829249,3.76,0.0,0.5010558717399936,0.9999999999999636,3.9267227987512893e-31,1.7341996685727016e-22,1.4210538762776447e-23,5.89821213858096e-11,5.898212138586482e-11,1.2887396754325496e-24,5.261311635083707e-23,5.2596134081136256e-23,2.9944702190202205e-30,2.0378022469748464e-33,3.649825740293971e-14,4.363373735206153e-25,1.596164282480076e-14,5.875497264573625e-19,1.68780786488756e-20,2.0537168559827547e-14,1.331536038279117e-24,2.4452959954638106e-24,3.856435895200257e-31,6.482820507612546e-20,1.1432097381036645e-36,1.2020208600255228e-38,4.261023057388996e-24,5.5338467714109325e-34,5.304503301139568e-50,6.332438335022269e-25,5.7212763192621717e-36,4.2915865256437693e-44,5.781090799141121e-42,9.804185721473219e-54,9.093282977058076e-14,1.1120530617339861e-23,9.093282962537887e-14,1.5671407859025916e-34,3.5000769815140167e-45,1.3544329918560115e-37,2.0007178801039803e-23,1.4275583595892865e-47,1.5052795593679836e-48,4.6434860887147885e-25,3.457185521894896e-49,1.019320688480711e-55,1.3826481264809001e-58,4.2699543543537144e-49,5.448668792515266e-45,2.598953120685649e-41
3.996684902970316e-15,0.4522347052880029,3.76,0.0,0.5010558716808838,0.9999999999999271,3.1413963398137225e-30,6.936816302792803e-22,5.684246983901086e-23,1.1796444276196465e-10,1.179644427621855e-10,5.154944805442741e-24,2.1045467359658983e-22,2.103850639338166e-22,2.3955831687137759e-29,1.6302828750295533e-32,7.29966386876718e-14,1.7453539347269557e-24,3.192332317373962e-14,1.2087315972663998e-18,6.751245942009606e-20,4.107438997309385e-14,5.326158453575663e-24,9.781209214060821e-24,3.0851577805216058e-30,1.2965755604742054e-19,9.145702089873511e-36,9.616213755289133e-38,1.704411951451737e-23,4.427088717373192e-33,8.487239638711388e-49,2.5329806481654722e-24,4.577032922313436e-35,6.866557748201796e-43,4.62488444621534e-41,3.1373466291853014e-52,1.8186596780450788e-13,4.448223556938284e-23,1.8186596722369878e-13,1.2537171097285255e-33,5.600117974634539e-44,1.0835488955029577e-36,8.002891869243699e-23,2.2841022275404538e-46,2.408455078983134e-47,1.8573988176839495e-24,5.531524405293973e-48,3.2618428789811246e-54,4.424496343336485e-57,6.490892628523827e-48,4.3589600309381684e-44,4.1583380202832345e-40
7.993376582015663e-15,0.4522347052981586,3.76,0.0,0.5010558715626643,0.9999999999998541,2.513134848632453e-29,2.7747300391775674e-21,2.2737153031585637e-22,2.359290854861108e-10,2.359290854869943e-10,2.061958939560497e-23,8.418331486840902e-22,8.415412663880762e-22,1.916469195377927e-28,1.304286219764955e-31,1.4599340162178047e-13,6.981424632077705e-24,6.384663407326772e-14,2.551985794331715e-18,2.70049966118253e-19,8.214878244433992e-14,2.1304666947172922e-23,3.912488946449732e-23,2.4681297430578088e-29,2.5931903724721083e-19,7.316567805797974e-35,7.693011767090021e-37,6.817643626492252e-23,3.5416732921587626e-32,1.357962861157137e-47,1.013192645567707e-23,3.6616290289096517e-34,1.0986501792109916e-41,3.699909981657092e-40,1.0039505814471232e-50,3.637322436426852e-13,1.77929168332704e-22,3.6373224131944593e-13,1.0029749057730392e-32,8.960129407906453e-43,8.668379758329077e-36,3.201160815316446e-22,3.654568656015724e-45,3.853534660164408e-46,7.429601986655786e-24,8.850466984578669e-47,1.0437930431453404e-52,1.41584316046344e-55,1.0112542048512968e-46,3.487192500749956e-43,6.653350793887678e-39
1.598675994010636e-14,0.4522347053184702,3.76,0.0,0.5010558713262253,0.9999999999997081,2.010531847900614e-28,1.1098927131684058e-20,9.094975942330607e-22,4.718583708217472e-10,4.718583708252811e-10,8.247668170552085e-23,3.3674418063900964e-21,3.3661667303238045e-21,1.5331762012710342e-27,1.043522525699812e-30,2.9198692894857204e-13,2.7925716409628313e-23,1.2769305667961373e-13,5.6420548078305574e-18,1.0801988316592011e-18,1.6429736596619704e-13,8.52187703084043e-23,1.56499680224835e-22,1.9745050305260217e-28,5.18653123926322e-19,5.853251034071869e-34,6.15446093923872e-36,2.7270489057184014e-22,2.833336038089596e-31,2.172749858268006e-46,4.052765942642872e-23,2.929301010429549e-33,1.7578391020958627e-40,2.959925278277226e-39,3.2126317704584254e-49,7.274647944003323e-13,7.117171242804069e-22,7.274647851073695e-13,8.023794927516986e-32,1.433598295231559e-41,6.934664982767688e-35,1.2804651379299298e-21,5.84730755577065e-44,6.165661664573722e-45,2.971840499060038e-23,1.416078833952768e-45,3.3401472368875164e-51,4.5307098834039006e-54,1.596157396085234e-45,2.789786955645895e-42,1.0645367766303892e-37
3.1973526656287754e-14,0.45223470535909316,3.76,0.0,0.5010558708533472,0.9999999999994161,1.6084620390416161e-27,4.4395721987479547e-20,3.63807869095316e-21,9.437169410423964e-10,9.437169410565319e-10,3.2989300598134544e-22,1.3470628069751781e-20,1.3464667398558238e-20,1.2265409482924247e-26,8.349667716283138e-30,5.839739894364243e-13,1.1170290216089666e-22,2.553851051269724e-13,1.34364256929937e-17,4.3207829435488894e-18,3.285937273314596e-13,3.4087557628169827e-22,6.259991028350621e-22,1.5796042446441606e-27,1.0373658524080926e-18,4.682590480821407e-33,4.923645714068301e-35,1.0908116861573737e-21,2.266662155542712e-30,3.476425325951608e-45,1.6211011193736069e-22,2.3434346607246354e-32,2.8125354203645933e-39,2.367933256764709e-38,1.0280344427577677e-47,1.4549298922407965e-12,2.8468693897330097e-21,1.4549298550689338e-12,6.419019509603187e-31,2.293682829138738e-40,5.547661639516033e-34,5.121862161559715e-21,9.355669878502691e-43,9.865066772656367e-44,1.1887348294769296e-22,2.2657418737334825e-44,1.0688541693321702e-49,1.4498361271672213e-52,2.5363137777204987e-44,2.2318798153224876e-41,1.703258890912475e-36
6.394706008865054e-14,0.4522347054403391,3.76,0.0,0.5010558699075912,0.9999999999988322,1.2868274121144869e-26,1.7758291095774324e-19,1.4553014331446608e-20,1.8874340796812016e-09,1.887434079737743e-09,1.3194616409033855e-21,5.3889373277270604e-20,5.385864773053184e-20,9.812321924047741e-26,6.682110472811385e-29,1.167948133748979e-12,4.4681168776620215e-22,5.107660150044151e-13,3.5482021942460425e-17,1.7283024469275083e-17,6.571832273808856e-13,1.3635056149254877e-21,2.5039982728230182e-21,1.2636830450560265e-26,2.0749699939025857e-18,3.74605374751242e-32,3.939037519532988e-34,4.3631816560759115e-21,1.8133180358952216e-29,5.562358972025637e-44,6.484359324508267e-22,1.87473684962708e-31,4.500031132241995e-38,1.89433440633479e-37,3.2896587588008354e-46,2.9098600732224058e-12,1.1387479269850659e-20,2.9098599245349353e-12,5.135185507037811e-30,3.669652142058892e-39,4.438013470172184e-33,2.0487451755781997e-20,1.496898883558366e-41,1.5784123389858935e-42,4.754926089449724e-22,3.625224637449478e-43,3.420367195249024e-48,4.6395173442470715e-51,4.0438835568734984e-43,1.7855832748078972e-40,2.725212755676695e-35
